Parent ID,Item Type,Parent Document,Child ID,Item Type,Child Document
MASTER-6274,User Requirement,URSCIC,MASTER-17411,System Requirement,SyBTE
MASTER-6274,User Requirement,URSCIC,UTICA-188,System Requirement,SyBTE
MASTER-6274,User Requirement,URSCIC,UTICA-189,System Requirement,SyBTE
MASTER-6274,User Requirement,URSCIC,MASTER-17410,System Requirement,SyCIC
MASTER-6274,User Requirement,URSCIC,MASTER-17411,System Requirement,SyCIC
MASTER-6274,User Requirement,URSCIC,UTICA-2499,System Requirement,SyCIC
MASTER-6275,User Requirement,URSCIC,MASTER-17386,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,MASTER-17387,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,MASTER-17412,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,MASTER-17388,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,UTICA-173,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,UTICA-174,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,UTICA-190,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,UTICA-175,System Requirement,SyBTE
MASTER-6275,User Requirement,URSCIC,MASTER-17412,System Requirement,SyCIC
MASTER-6275,User Requirement,URSCIC,MASTER-17388,System Requirement,SyCIC
MASTER-6275,User Requirement,URSCIC,MASTER-17413,System Requirement,SyCIC
MASTER-6275,User Requirement,URSCIC,UTICA-2500,System Requirement,SyCIC
MASTER-6275,User Requirement,URSCIC,UTICA-2501,System Requirement,SyCIC
MASTER-6276,User Requirement,URSCIC,MASTER-17398,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17399,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17400,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17401,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17414,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17415,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17403,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17405,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-182,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-183,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-184,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-185,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-191,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-192,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-186,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,UTICA-187,System Requirement,SyBTE
MASTER-6276,User Requirement,URSCIC,MASTER-17414,System Requirement,SyCIC
MASTER-6276,User Requirement,URSCIC,MASTER-17415,System Requirement,SyCIC
MASTER-6277,User Requirement,URSCIC,MASTER-17419,System Requirement,SyBTE
MASTER-6277,User Requirement,URSCIC,MASTER-17420,System Requirement,SyBTE
MASTER-6277,User Requirement,URSCIC,UTICA-193,System Requirement,SyBTE
MASTER-6277,User Requirement,URSCIC,UTICA-194,System Requirement,SyBTE
MASTER-6277,User Requirement,URSCIC,MASTER-17420,System Requirement,SyCIC
MASTER-6277,User Requirement,URSCIC,MASTER-17430,System Requirement,SyCIC
MASTER-6277,User Requirement,URSCIC,UTICA-2463,System Requirement,SyCIC
MASTER-6278,User Requirement,URSCIC,MASTER-17389,System Requirement,SyBTE
MASTER-6278,User Requirement,URSCIC,UTICA-176,System Requirement,SyBTE
MASTER-6278,User Requirement,URSCIC,MASTER-17389,System Requirement,SyCIC
MASTER-6278,User Requirement,URSCIC,UTICA-2462,System Requirement,SyCIC
MASTER-6278,User Requirement,URSCIC,UTICA-2461,System Requirement,SyCIC
MASTER-6279,User Requirement,URSCIC,MASTER-17419,System Requirement,SyBTE
MASTER-6279,User Requirement,URSCIC,MASTER-17420,System Requirement,SyBTE
MASTER-6279,User Requirement,URSCIC,UTICA-193,System Requirement,SyBTE
MASTER-6279,User Requirement,URSCIC,UTICA-194,System Requirement,SyBTE
MASTER-6279,User Requirement,URSCIC,MASTER-17420,System Requirement,SyCIC
MASTER-6279,User Requirement,URSCIC,UTICA-2463,System Requirement,SyCIC
MASTER-6286,User Requirement,URSCIC,UTICA-2466,System Requirement,SyCIC
MASTER-6291,User Requirement,URSCIC,MASTER-17469,System Requirement,SyBTE
MASTER-6292,User Requirement,URSCIC,MASTER-17474,System Requirement,SyBTE
MASTER-6292,User Requirement,URSCIC,MASTER-17471,System Requirement,SyBTE
MASTER-6292,User Requirement,URSCIC,MASTER-17475,System Requirement,SyBTE
MASTER-6298,User Requirement,URSCIC,MASTER-17509,System Requirement,SyCIC
MASTER-6298,User Requirement,URSCIC,UTICA-2467,System Requirement,SyCIC
MASTER-6304,User Requirement,URSCIC,MASTER-17518,System Requirement,SyBTE
MASTER-6304,User Requirement,URSCIC,MASTER-17519,System Requirement,SyCIC
MASTER-6304,User Requirement,URSCIC,MASTER-17518,System Requirement,SyCIC
MASTER-6309,User Requirement,URSCIC,UTICA-2468,System Requirement,SyCIC
MASTER-6310,User Requirement,URSCIC,MASTER-17537,System Requirement,SyBTE
MASTER-6310,User Requirement,URSCIC,UTICA-200,System Requirement,SyBTE
MASTER-6315,User Requirement,URSCIC,MASTER-20295,System Requirement,HAFP
MASTER-6315,User Requirement,URSCIC,MASTER-20295,System Requirement,HAFQ
MASTER-6315,User Requirement,URSCIC,MASTER-20295,System Requirement,HAFS
MASTER-6315,User Requirement,URSCIC,MASTER-20295,System Requirement,HAFT
MASTER-6315,User Requirement,URSCIC,MASTER-20295,System Requirement,HAFU
MASTER-6315,User Requirement,URSCIC,MASTER-59956,System Requirement,SyBTE
MASTER-6315,User Requirement,URSCIC,MASTER-59956,System Requirement,SyCIC
MASTER-6318,User Requirement,URSCIC,MASTER-59956,System Requirement,SyBTE
MASTER-6318,User Requirement,URSCIC,MASTER-59956,System Requirement,SyCIC
MASTER-6336,User Requirement,URSCIC,MASTER-17662,System Requirement,SyCIC
MASTER-6336,User Requirement,URSCIC,UTICA-2470,System Requirement,SyCIC
MASTER-6338,User Requirement,URSCIC,MASTER-17654,System Requirement,SyBTE
MASTER-6338,User Requirement,URSCIC,MASTER-17657,System Requirement,SyCIC
MASTER-6338,User Requirement,URSCIC,MASTER-17659,System Requirement,SyCIC
MASTER-6338,User Requirement,URSCIC,UTICA-2469,System Requirement,SyCIC
MASTER-6338,User Requirement,URSCIC,UTICA-2521,System Requirement,SyCIC
MASTER-6338,User Requirement,URSCIC,UTICA-2472,System Requirement,SyCIC
MASTER-6339,User Requirement,URSCIC,MASTER-17660,System Requirement,SyCIC
MASTER-6339,User Requirement,URSCIC,UTICA-2471,System Requirement,SyCIC
MASTER-6358,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFP
MASTER-6358,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFP
MASTER-6358,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFQ
MASTER-6358,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFQ
MASTER-6358,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFS
MASTER-6358,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFS
MASTER-6358,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFT
MASTER-6358,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFT
MASTER-6358,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFU
MASTER-6358,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFU
MASTER-6358,User Requirement,URSCIC,MASTER-21791,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-18353,System Requirement,HAFP
MASTER-6359,User Requirement,URSCIC,MASTER-18353,System Requirement,HAFQ
MASTER-6359,User Requirement,URSCIC,MASTER-18353,System Requirement,HAFS
MASTER-6359,User Requirement,URSCIC,MASTER-18353,System Requirement,HAFT
MASTER-6359,User Requirement,URSCIC,MASTER-18353,System Requirement,HAFU
MASTER-6359,User Requirement,URSCIC,MASTER-21791,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-21792,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-21793,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-21794,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-21795,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-50255,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,MASTER-76083,System Requirement,Inspire
MASTER-6359,User Requirement,URSCIC,UTICA-25681,System Requirement,Inspire
MASTER-6360,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFP
MASTER-6360,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFP
MASTER-6360,User Requirement,URSCIC,MASTER-18684,System Requirement,HAFP
MASTER-6360,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFQ
MASTER-6360,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFQ
MASTER-6360,User Requirement,URSCIC,MASTER-18684,System Requirement,HAFQ
MASTER-6360,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFS
MASTER-6360,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFS
MASTER-6360,User Requirement,URSCIC,MASTER-18684,System Requirement,HAFS
MASTER-6360,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFT
MASTER-6360,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFT
MASTER-6360,User Requirement,URSCIC,MASTER-18684,System Requirement,HAFT
MASTER-6360,User Requirement,URSCIC,MASTER-17676,System Requirement,HAFU
MASTER-6360,User Requirement,URSCIC,MASTER-17679,System Requirement,HAFU
MASTER-6360,User Requirement,URSCIC,MASTER-18684,System Requirement,HAFU
MASTER-6360,User Requirement,URSCIC,MASTER-21791,System Requirement,Inspire
MASTER-6360,User Requirement,URSCIC,MASTER-21792,System Requirement,Inspire
MASTER-6360,User Requirement,URSCIC,MASTER-21793,System Requirement,Inspire
MASTER-6360,User Requirement,URSCIC,MASTER-21794,System Requirement,Inspire
MASTER-6360,User Requirement,URSCIC,MASTER-21795,System Requirement,Inspire
MASTER-6362,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFP
MASTER-6362,User Requirement,URSCIC,MASTER-19249,System Requirement,HAFP
MASTER-6362,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFQ
MASTER-6362,User Requirement,URSCIC,MASTER-19249,System Requirement,HAFQ
MASTER-6362,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFS
MASTER-6362,User Requirement,URSCIC,MASTER-19249,System Requirement,HAFS
MASTER-6362,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFT
MASTER-6362,User Requirement,URSCIC,MASTER-19249,System Requirement,HAFT
MASTER-6362,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFU
MASTER-6362,User Requirement,URSCIC,MASTER-19249,System Requirement,HAFU
MASTER-6362,User Requirement,URSCIC,MASTER-22580,System Requirement,Inspire
MASTER-6362,User Requirement,URSCIC,MASTER-22581,System Requirement,Inspire
MASTER-6362,User Requirement,URSCIC,MASTER-20027,System Requirement,SyBTE
MASTER-6362,User Requirement,URSCIC,UTICA-210,System Requirement,SyBTE
MASTER-6362,User Requirement,URSCIC,MASTER-20027,System Requirement,SyCIC
MASTER-6363,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFP
MASTER-6363,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFQ
MASTER-6363,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFS
MASTER-6363,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFT
MASTER-6363,User Requirement,URSCIC,MASTER-19181,System Requirement,HAFU
MASTER-6363,User Requirement,URSCIC,MASTER-20027,System Requirement,SyBTE
MASTER-6363,User Requirement,URSCIC,UTICA-210,System Requirement,SyBTE
MASTER-6363,User Requirement,URSCIC,MASTER-20027,System Requirement,SyCIC
MASTER-6365,User Requirement,URSCIC,MASTER-19217,System Requirement,HAFP
MASTER-6365,User Requirement,URSCIC,MASTER-42144,System Requirement,HAFP
MASTER-6365,User Requirement,URSCIC,MASTER-42145,System Requirement,HAFP
MASTER-6365,User Requirement,URSCIC,MASTER-19216,System Requirement,HAFP
MASTER-6365,User Requirement,URSCIC,MASTER-19217,System Requirement,HAFQ
MASTER-6365,User Requirement,URSCIC,MASTER-42144,System Requirement,HAFQ
MASTER-6365,User Requirement,URSCIC,MASTER-42145,System Requirement,HAFQ
MASTER-6365,User Requirement,URSCIC,MASTER-19217,System Requirement,HAFS
MASTER-6365,User Requirement,URSCIC,MASTER-42144,System Requirement,HAFS
MASTER-6365,User Requirement,URSCIC,MASTER-42145,System Requirement,HAFS
MASTER-6365,User Requirement,URSCIC,MASTER-19217,System Requirement,HAFT
MASTER-6365,User Requirement,URSCIC,MASTER-42144,System Requirement,HAFT
MASTER-6365,User Requirement,URSCIC,MASTER-42145,System Requirement,HAFT
MASTER-6365,User Requirement,URSCIC,MASTER-19217,System Requirement,HAFU
MASTER-6365,User Requirement,URSCIC,MASTER-42144,System Requirement,HAFU
MASTER-6365,User Requirement,URSCIC,MASTER-42145,System Requirement,HAFU
MASTER-6365,User Requirement,URSCIC,MASTER-22275,System Requirement,Inspire
MASTER-6365,User Requirement,URSCIC,MASTER-22276,System Requirement,Inspire
MASTER-6370,User Requirement,URSCIC,MASTER-50013,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-50021,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60681,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60682,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60690,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60691,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60692,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60693,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60704,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60706,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60721,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60722,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60725,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60726,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60727,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60728,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60732,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60733,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60735,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60737,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60903,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-60904,System Requirement,HAFP
MASTER-6370,User Requirement,URSCIC,MASTER-17763,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-17764,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-50013,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-50021,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60675,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60676,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60681,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60682,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60690,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60691,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60692,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60693,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60704,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60706,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60709,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60711,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60713,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60714,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60716,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60720,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60721,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60722,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60723,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60724,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60725,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60726,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60727,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60728,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60729,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60732,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60733,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60735,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60737,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60903,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-60904,System Requirement,HAFQ
MASTER-6370,User Requirement,URSCIC,MASTER-17763,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-17764,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-50013,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-50021,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60675,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60676,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60690,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60691,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60692,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60693,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60704,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60706,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60709,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60711,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60713,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60714,System Requirement,HAFS
